  106 T=     4. E= -.33252729E+03 F= -.33255783E+03 E0= -.33247939E+03  EK= 0.30535E-01 SP= 0.00E+00 SK= 0.00E+00
  107 T=     3. E= -.33252729E+03 F= -.33255393E+03 E0= -.33247563E+03  EK= 0.26648E-01 SP= 0.00E+00 SK= 0.00E+00
  108 T=     3. E= -.33252727E+03 F= -.33254958E+03 E0= -.33247140E+03  EK= 0.22308E-01 SP= 0.00E+00 SK= 0.00E+00
  109 T=     2. E= -.33252723E+03 F= -.33254488E+03 E0= -.33246682E+03  EK= 0.17649E-01 SP= 0.00E+00 SK= 0.00E+00
  110 T=     2. E= -.33252720E+03 F= -.33254024E+03 E0= -.33246227E+03  EK= 0.13040E-01 SP= 0.00E+00 SK= 0.00E+00
  111 T=     1. E= -.33252717E+03 F= -.33253609E+03 E0= -.33245820E+03  EK= 0.89232E-02 SP= 0.00E+00 SK= 0.00E+00
  112 T=     1. E= -.33252716E+03 F= -.33253277E+03 E0= -.33245495E+03  EK= 0.56183E-02 SP= 0.00E+00 SK= 0.00E+00
  113 T=     0. E= -.33252716E+03 F= -.33253039E+03 E0= -.33245261E+03  EK= 0.32343E-02 SP= 0.00E+00 SK= 0.00E+00
  114 T=     0. E= -.33252715E+03 F= -.33252891E+03 E0= -.33245115E+03  EK= 0.17524E-02 SP= 0.00E+00 SK= 0.00E+00
  115 T=     0. E= -.33252715E+03 F= -.33252833E+03 E0= -.33245057E+03  EK= 0.11829E-02 SP= 0.00E+00 SK= 0.00E+00
  116 T=     0. E= -.33252714E+03 F= -.33252879E+03 E0= -.33245102E+03  EK= 0.16498E-02 SP= 0.00E+00 SK= 0.00E+00
  117 T=     0. E= -.33252714E+03 F= -.33253045E+03 E0= -.33245265E+03  EK= 0.33190E-02 SP= 0.00E+00 SK= 0.00E+00
  118 T=     1. E= -.33252715E+03 F= -.33253338E+03 E0= -.33245553E+03  EK= 0.62243E-02 SP= 0.00E+00 SK= 0.00E+00
  119 T=     1. E= -.33252719E+03 F= -.33253733E+03 E0= -.33245941E+03  EK= 0.10135E-01 SP= 0.00E+00 SK= 0.00E+00
  120 T=     2. E= -.33252723E+03 F= -.33254182E+03 E0= -.33246383E+03  EK= 0.14590E-01 SP= 0.00E+00 SK= 0.00E+00
  121 T=     2. E= -.33252726E+03 F= -.33254635E+03 E0= -.33246827E+03  EK= 0.19094E-01 SP= 0.00E+00 SK= 0.00E+00
  122 T=     3. E= -.33252727E+03 F= -.33255062E+03 E0= -.33247242E+03  EK= 0.23348E-01 SP= 0.00E+00 SK= 0.00E+00
  123 T=     3. E= -.33252727E+03 F= -.33255462E+03 E0= -.33247631E+03  EK= 0.27354E-01 SP= 0.00E+00 SK= 0.00E+00
  124 T=     4. E= -.33252727E+03 F= -.33255855E+03 E0= -.33248012E+03  EK= 0.31283E-01 SP= 0.00E+00 SK= 0.00E+00
  125 T=     4. E= -.33252730E+03 F= -.33256252E+03 E0= -.33248395E+03  EK= 0.35222E-01 SP= 0.00E+00 SK= 0.00E+00
  126 T=     5. E= -.33252734E+03 F= -.33256631E+03 E0= -.33248761E+03  EK= 0.38964E-01 SP= 0.00E+00 SK= 0.00E+00
  127 T=     5. E= -.33252739E+03 F= -.33256941E+03 E0= -.33249057E+03  EK= 0.42019E-01 SP= 0.00E+00 SK= 0.00E+00
  128 T=     5. E= -.33252743E+03 F= -.33257127E+03 E0= -.33249228E+03  EK= 0.43841E-01 SP= 0.00E+00 SK= 0.00E+00
  129 T=     6. E= -.33252743E+03 F= -.33257156E+03 E0= -.33249241E+03  EK= 0.44127E-01 SP= 0.00E+00 SK= 0.00E+00
  130 T=     5. E= -.33252742E+03 F= -.33257039E+03 E0= -.33249105E+03  EK= 0.42972E-01 SP= 0.00E+00 SK= 0.00E+00
  131 T=     5. E= -.33252740E+03 F= -.33256819E+03 E0= -.33248862E+03  EK= 0.40781E-01 SP= 0.00E+00 SK= 0.00E+00
  132 T=     5. E= -.33252740E+03 F= -.33256541E+03 E0= -.33248558E+03  EK= 0.38007E-01 SP= 0.00E+00 SK= 0.00E+00
  133 T=     4. E= -.33252742E+03 F= -.33256233E+03 E0= -.33248217E+03  EK= 0.34909E-01 SP= 0.00E+00 SK= 0.00E+00
  134 T=     4. E= -.33252744E+03 F= -.33255892E+03 E0= -.33247840E+03  EK= 0.31485E-01 SP= 0.00E+00 SK= 0.00E+00
  135 T=     3. E= -.33252745E+03 F= -.33255507E+03 E0= -.33247411E+03  EK= 0.27614E-01 SP= 0.00E+00 SK= 0.00E+00
  136 T=     3. E= -.33252745E+03 F= -.33255073E+03 E0= -.33246930E+03  EK= 0.23282E-01 SP= 0.00E+00 SK= 0.00E+00
  137 T=     2. E= -.33252744E+03 F= -.33254614E+03 E0= -.33246421E+03  EK= 0.18709E-01 SP= 0.00E+00 SK= 0.00E+00
  138 T=     2. E= -.33252742E+03 F= -.33254170E+03 E0= -.33245928E+03  EK= 0.14284E-01 SP= 0.00E+00 SK= 0.00E+00
  139 T=     1. E= -.33252741E+03 F= -.33253778E+03 E0= -.33245492E+03  EK= 0.10369E-01 SP= 0.00E+00 SK= 0.00E+00
  140 T=     1. E= -.33252742E+03 F= -.33253455E+03 E0= -.33245132E+03  EK= 0.71332E-02 SP= 0.00E+00 SK= 0.00E+00
  141 T=     1. E= -.33252743E+03 F= -.33253199E+03 E0= -.33244848E+03  EK= 0.45575E-02 SP= 0.00E+00 SK= 0.00E+00
